event_id,timestamp,vehicle_model,vin,station,joint,tool_id,target_torque_nm,tolerance_nm,actual_torque_nm,angle_required,actual_angle_deg,sop_id,sop_chunks_used,result,violations,tool_error
EVT-000050,2026-03-03T06:49:11.000Z,SUV-Z,VIN3381183483,POWERTRAIN_ST-05,SUSPENSION_ARM_BOLT_R,DC_GUN,100,5,99.0,,,SOP-GEN-0034,[],OK,[],
EVT-000051,2026-03-03T06:50:05.000Z,SUV-Z,VIN4580822352,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,39.0,,,SOP-GEN-0014,[],OK,[],
EVT-000052,2026-03-03T06:50:58.000Z,EV-Q,VIN7192423780,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,83.1,15.0,13.1,SOP-GEN-0010,[],OK,[],
EVT-000053,2026-03-03T06:52:37.000Z,Hatch-A,VIN3829742424,POWERTRAIN_ST-05,BATTERY_HOLD_DOWN,PNEUMATIC_TQ,65,5,64.3,,,SOP-GEN-0023,[],OK,[],
EVT-000054,2026-03-03T06:53:21.000Z,Hatch-A,VIN4464161270,INTERIOR_ST-08,WHEEL_LUG_NUT_RL,MANUAL_WRENCH,120,10,121.4,,,SOP-GEN-0071,[],OK,[],
EVT-000055,2026-03-03T06:53:50.000Z,EV-Q,VIN4300636585,CHASSIS_ST-14,WHEEL_LUG_NUT_FR,MANUAL_WRENCH,120,10,117.0,,,SOP-GEN-0026,[],OK,[],
EVT-000056,2026-03-03T06:54:42.000Z,Hatch-A,VIN2825989011,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,84.8,15.0,13.6,SOP-GEN-0010,[],OK,[],
EVT-000057,2026-03-03T06:55:57.000Z,Hatch-A,VIN8737025391,CHASSIS_ST-14,WHEEL_LUG_NUT_FR,MANUAL_WRENCH,120,10,115.8,,,SOP-GEN-0026,[],OK,[],
EVT-000058,2026-03-03T06:56:48.000Z,Truck-T,VIN8995059760,CHASSIS_ST-14,SEAT_FRAME_REAR_R,PNEUMATIC_TQ,45,5,44.2,,,SOP-GEN-0066,[],OK,[],
EVT-000059,2026-03-03T06:57:30.000Z,EV-Q,VIN3691864041,FINAL_ASSY_ST-22,ENGINE_MOUNT_FRONT_LEFT,ELECTRIC_ANGLE_GUN,85,5,85.4,30.0,29.0,SOP-GEN-0036,[],OK,[],
EVT-000060,2026-03-03T06:58:51.000Z,Truck-T,VIN1346078411,INTERIOR_ST-08,WHEEL_LUG_NUT_RL,MANUAL_WRENCH,120,10,119.7,,,SOP-GEN-0071,[],OK,[],
EVT-000061,2026-03-03T06:59:27.000Z,Hatch-A,VIN5570828113,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,39.3,,,SOP-GEN-0014,[],OK,[],
EVT-000062,2026-03-03T07:00:25.000Z,Truck-T,VIN7767538527,CHASSIS_ST-14,SEAT_FRAME_REAR_R,PNEUMATIC_TQ,45,5,44.4,,,SOP-GEN-0066,[],OK,[],
EVT-000063,2026-03-03T07:01:00.000Z,EV-Q,VIN6242173772,INTERIOR_ST-08,SUSPENSION_ARM_BOLT_F,DC_GUN,100,5,100.3,,,SOP-GEN-0016,[],OK,[],
EVT-000064,2026-03-03T07:01:50.000Z,EV-Q,VIN4110335359,POWERTRAIN_ST-05,SEAT_FRAME_REAR_L,PNEUMATIC_TQ,45,5,44.0,,,SOP-GEN-0073,[],OK,[],
EVT-000065,2026-03-03T07:02:28.000Z,Truck-T,VIN1116402431,POWERTRAIN_ST-05,WHEEL_LUG_NUT_FL,MANUAL_WRENCH,120,10,120.2,,,SOP-GEN-0022,[],OK,[],
EVT-000066,2026-03-03T07:03:26.000Z,SUV-Z,VIN6204041308,POWERTRAIN_ST-05,ENGINE_MOUNT_REAR_RIGHT,PNEUMATIC_TQ,85,5,85.4,30.0,29.3,SOP-GEN-0006,[],OK,[],
EVT-000067,2026-03-03T07:04:46.000Z,Sedan-X,VIN3019952485,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,39.6,,,SOP-GEN-0014,[],OK,[],
EVT-000068,2026-03-03T07:05:45.000Z,Sedan-X,VIN3799264931,INTERIOR_ST-08,SUSPENSION_ARM_BOLT_F,DC_GUN,100,5,102.4,,,SOP-GEN-0016,[],OK,[],
EVT-000069,2026-03-03T07:06:44.000Z,Hatch-A,VIN5070585433,FINAL_ASSY_ST-22,ENGINE_MOUNT_FRONT_LEFT,ELECTRIC_ANGLE_GUN,85,5,85.1,30.0,30.3,SOP-GEN-0036,[],OK,[],
EVT-000070,2026-03-03T07:08:11.000Z,Sedan-X,VIN2335901990,INTERIOR_ST-08,SUSPENSION_ARM_BOLT_F,DC_GUN,100,5,100.7,,,SOP-GEN-0016,[],OK,[],
EVT-000071,2026-03-03T07:09:04.000Z,EV-Q,VIN4070964768,FINAL_ASSY_ST-22,BRAKE_CALIPER_BOLT,MANUAL_WRENCH,60,5,61.2,,,SOP-GEN-0031,[],OK,[],
EVT-000072,2026-03-03T07:09:43.000Z,Sedan-X,VIN5471357886,FINAL_ASSY_ST-22,WHEEL_LUG_NUT_RR,DC_GUN,120,10,119.4,,,SOP-GEN-0070,[],OK,[],
EVT-000073,2026-03-03T07:10:38.000Z,SUV-Z,VIN3105400301,INTERIOR_ST-08,SUSPENSION_ARM_BOLT_F,DC_GUN,100,5,99.2,,,SOP-GEN-0016,[],OK,[],
EVT-000074,2026-03-03T07:11:37.000Z,SUV-Z,VIN8622026979,CHASSIS_ST-14,SEAT_FRAME_REAR_R,PNEUMATIC_TQ,45,5,44.7,,,SOP-GEN-0066,[],OK,[],
EVT-000075,2026-03-03T07:12:24.000Z,SUV-Z,VIN9081544414,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,44.0,15.0,15.1,SOP-GEN-0020,[],OK,[],
EVT-000076,2026-03-03T07:13:33.000Z,EV-Q,VIN8949781901,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,42.3,,,SOP-GEN-0014,[],OK,[],
EVT-000077,2026-03-03T07:14:28.000Z,Truck-T,VIN9633533290,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,84.5,15.0,15.9,SOP-GEN-0010,[],OK,[],
EVT-000078,2026-03-03T07:15:32.000Z,EV-Q,VIN7403028869,FINAL_ASSY_ST-22,ENGINE_MOUNT_FRONT_LEFT,ELECTRIC_ANGLE_GUN,85,5,84.8,30.0,28.3,SOP-GEN-0036,[],OK,[],
EVT-000079,2026-03-03T07:16:25.000Z,Truck-T,VIN6879898071,FINAL_ASSY_ST-22,BRAKE_CALIPER_BOLT,MANUAL_WRENCH,60,5,60.3,,,SOP-GEN-0031,[],OK,[],
EVT-000080,2026-03-03T07:17:23.000Z,Truck-T,VIN6715705115,POWERTRAIN_ST-05,SEAT_FRAME_REAR_L,PNEUMATIC_TQ,45,5,46.5,,,SOP-GEN-0073,[],OK,[],
EVT-000081,2026-03-03T07:18:05.000Z,Sedan-X,VIN3964229896,FINAL_ASSY_ST-22,BRAKE_CALIPER_BOLT,MANUAL_WRENCH,60,5,60.0,,,SOP-GEN-0031,[],OK,[],
EVT-000082,2026-03-03T07:18:47.000Z,Truck-T,VIN6128695961,POWERTRAIN_ST-05,BATTERY_HOLD_DOWN,PNEUMATIC_TQ,65,5,65.5,,,SOP-GEN-0023,[],OK,[],
EVT-000083,2026-03-03T07:19:30.000Z,Sedan-X,VIN5184564874,FINAL_ASSY_ST-22,ENGINE_MOUNT_REAR_LEFT,MANUAL_WRENCH,85,5,84.5,30.0,32.2,SOP-GEN-0003,[],OK,[],
EVT-000084,2026-03-03T07:21:04.000Z,Sedan-X,VIN7760554363,POWERTRAIN_ST-05,ENGINE_MOUNT_REAR_RIGHT,PNEUMATIC_TQ,85,5,83.9,30.0,28.1,SOP-GEN-0006,[],OK,[],
EVT-000085,2026-03-03T07:22:39.000Z,EV-Q,VIN5575615203,CHASSIS_ST-14,SEAT_FRAME_REAR_R,PNEUMATIC_TQ,45,5,43.6,,,SOP-GEN-0066,[],OK,[],
EVT-000086,2026-03-03T07:23:16.000Z,Truck-T,VIN9371430906,CHASSIS_ST-14,WHEEL_LUG_NUT_FR,MANUAL_WRENCH,120,10,124.4,,,SOP-GEN-0026,[],OK,[],
EVT-000087,2026-03-03T07:23:50.000Z,Truck-T,VIN7539399243,FINAL_ASSY_ST-22,WHEEL_LUG_NUT_RR,DC_GUN,120,10,118.1,,,SOP-GEN-0070,[],OK,[],
EVT-000088,2026-03-03T07:24:43.000Z,EV-Q,VIN3667292043,FINAL_ASSY_ST-22,BRAKE_CALIPER_BOLT,MANUAL_WRENCH,60,5,59.6,,,SOP-GEN-0031,[],OK,[],
EVT-000089,2026-03-03T07:25:35.000Z,Hatch-A,VIN1322401182,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,84.4,15.0,14.2,SOP-GEN-0010,[],OK,[],
EVT-000090,2026-03-03T07:26:38.000Z,SUV-Z,VIN8331319481,CHASSIS_ST-14,SEAT_FRAME_REAR_R,PNEUMATIC_TQ,45,5,44.6,,,SOP-GEN-0066,[],OK,[],
EVT-000091,2026-03-03T07:27:14.000Z,Hatch-A,VIN2825957977,FINAL_ASSY_ST-22,ENGINE_MOUNT_FRONT_LEFT,ELECTRIC_ANGLE_GUN,85,5,84.0,30.0,30.5,SOP-GEN-0036,[],OK,[],
EVT-000092,2026-03-03T07:28:45.000Z,Hatch-A,VIN8699281063,POWERTRAIN_ST-05,ENGINE_MOUNT_REAR_RIGHT,PNEUMATIC_TQ,85,5,83.6,30.0,30.3,SOP-GEN-0006,[],OK,[],
EVT-000093,2026-03-03T07:30:22.000Z,SUV-Z,VIN8300300577,CHASSIS_ST-14,SEAT_FRAME_REAR_R,PNEUMATIC_TQ,45,5,44.7,,,SOP-GEN-0066,[],OK,[],
EVT-000094,2026-03-03T07:31:05.000Z,SUV-Z,VIN7887897660,CHASSIS_ST-14,SEAT_FRAME_REAR_R,PNEUMATIC_TQ,45,5,45.2,,,SOP-GEN-0066,[],OK,[],
EVT-000095,2026-03-03T07:31:27.000Z,Sedan-X,VIN4248149900,FINAL_ASSY_ST-22,ENGINE_MOUNT_FRONT_LEFT,ELECTRIC_ANGLE_GUN,85,5,85.1,30.0,31.0,SOP-GEN-0036,[],OK,[],
EVT-000096,2026-03-03T07:33:01.000Z,EV-Q,VIN5162060546,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,43.9,15.0,13.2,SOP-GEN-0020,[],OK,[],
EVT-000097,2026-03-03T07:34:22.000Z,Sedan-X,VIN4683935600,POWERTRAIN_ST-05,SEAT_FRAME_REAR_L,PNEUMATIC_TQ,45,5,44.3,,,SOP-GEN-0073,[],OK,[],
EVT-000098,2026-03-03T07:35:05.000Z,Truck-T,VIN5452580287,POWERTRAIN_ST-05,BATTERY_HOLD_DOWN,PNEUMATIC_TQ,65,5,64.4,,,SOP-GEN-0023,[],OK,[],
EVT-000099,2026-03-03T07:35:42.000Z,Truck-T,VIN9594878379,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,47.3,15.0,16.5,SOP-GEN-0020,[],OK,[],
EVT-000100,2026-03-03T07:37:10.000Z,Truck-T,VIN8543865915,POWERTRAIN_ST-05,SEAT_FRAME_REAR_L,PNEUMATIC_TQ,45,5,44.8,,,SOP-GEN-0073,[],OK,[],
EVT-000101,2026-03-03T07:37:45.000Z,EV-Q,VIN1521521078,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,84.9,15.0,15.8,SOP-GEN-0010,[],OK,[],
EVT-000102,2026-03-03T07:39:22.000Z,Hatch-A,VIN4921003983,FINAL_ASSY_ST-22,ENGINE_MOUNT_REAR_LEFT,MANUAL_WRENCH,85,5,84.9,30.0,30.2,SOP-GEN-0003,[],OK,[],
EVT-000103,2026-03-03T07:40:44.000Z,SUV-Z,VIN3028168523,POWERTRAIN_ST-05,ENGINE_MOUNT_REAR_RIGHT,PNEUMATIC_TQ,85,5,83.4,30.0,30.0,SOP-GEN-0006,[],OK,[],
EVT-000104,2026-03-03T07:42:07.000Z,Hatch-A,VIN4710967433,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,40.5,,,SOP-GEN-0014,[],OK,[],
EVT-000105,2026-03-03T07:43:03.000Z,Truck-T,VIN5305985001,POWERTRAIN_ST-05,SUSPENSION_ARM_BOLT_R,DC_GUN,100,5,101.3,,,SOP-GEN-0034,[],OK,[],
EVT-000106,2026-03-03T07:44:10.000Z,SUV-Z,VIN7628981661,POWERTRAIN_ST-05,BATTERY_HOLD_DOWN,PNEUMATIC_TQ,65,5,65.7,,,SOP-GEN-0023,[],OK,[],
EVT-000107,2026-03-03T07:44:59.000Z,EV-Q,VIN5482431018,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,84.2,15.0,15.1,SOP-GEN-0010,[],OK,[],
EVT-000108,2026-03-03T07:46:31.000Z,Hatch-A,VIN1158998032,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,41.0,,,SOP-GEN-0014,[],OK,[],
EVT-000109,2026-03-03T07:47:32.000Z,EV-Q,VIN9655852024,FINAL_ASSY_ST-22,WHEEL_LUG_NUT_RR,DC_GUN,120,10,121.5,,,SOP-GEN-0070,[],OK,[],
EVT-000110,2026-03-03T07:48:14.000Z,Truck-T,VIN8270110908,POWERTRAIN_ST-05,ENGINE_MOUNT_REAR_RIGHT,PNEUMATIC_TQ,85,5,84.2,30.0,30.2,SOP-GEN-0006,[],OK,[],
EVT-000111,2026-03-03T07:49:47.000Z,Truck-T,VIN8556573246,POWERTRAIN_ST-05,SUSPENSION_ARM_BOLT_R,DC_GUN,100,5,99.2,,,SOP-GEN-0034,[],OK,[],
EVT-000112,2026-03-03T07:50:50.000Z,Hatch-A,VIN4207337120,INTERIOR_ST-08,WHEEL_LUG_NUT_RL,MANUAL_WRENCH,120,10,120.3,,,SOP-GEN-0071,[],OK,[],
EVT-000113,2026-03-03T07:51:31.000Z,SUV-Z,VIN4880176825,FINAL_ASSY_ST-22,WHEEL_LUG_NUT_RR,DC_GUN,120,10,123.0,,,SOP-GEN-0070,[],OK,[],
EVT-000114,2026-03-03T07:52:07.000Z,Truck-T,VIN1773338452,CHASSIS_ST-14,WHEEL_LUG_NUT_FR,MANUAL_WRENCH,120,10,119.5,,,SOP-GEN-0026,[],OK,[],
EVT-000115,2026-03-03T07:52:39.000Z,Hatch-A,VIN3504640817,INTERIOR_ST-08,STEERING_COLUMN_BOLT,ELECTRIC_ANGLE_GUN,40,5,40.9,,,SOP-GEN-0014,[],OK,[],
EVT-000116,2026-03-03T07:53:35.000Z,EV-Q,VIN9165632300,POWERTRAIN_ST-05,TRANSMISSION_MOUNT_BOLT,PNEUMATIC_TQ,45,5,43.6,15.0,15.6,SOP-GEN-0020,[],OK,[],
EVT-000117,2026-03-03T07:54:54.000Z,EV-Q,VIN8259841263,INTERIOR_ST-08,WHEEL_LUG_NUT_RL,MANUAL_WRENCH,120,10,118.3,,,SOP-GEN-0071,[],OK,[],
EVT-000118,2026-03-03T07:55:42.000Z,EV-Q,VIN7751356568,INTERIOR_ST-08,ENGINE_MOUNT_FRONT_RIGHT,DC_GUN,85,5,85.3,15.0,15.4,SOP-GEN-0010,[],OK,[],
EVT-000119,2026-03-03T07:57:17.000Z,Truck-T,VIN5181592277,FINAL_ASSY_ST-22,BRAKE_CALIPER_BOLT,MANUAL_WRENCH,60,5,53.0,,,SOP-GEN-0031,[],UnderTorque,"[""under_torque""]",
EVT-000120,2026-03-03T07:58:21.000Z,Hatch-A,VIN3734252963,FINAL_ASSY_ST-22,BRAKE_CALIPER_BOLT,MANUAL_WRENCH,60,5,60.1,,,SOP-GEN-0031,[],OK,[],
EVT-000121,2026-03-03T07:59:18.000Z,SUV-Z,VIN8682023540,POWERTRAIN_ST-05,ENGINE_MOUNT_REAR_RIGHT,PNEUMATIC_TQ,85,5,84.3,30.0,31.8,SOP-GEN-0006,[],OK,[],
